Codice ISTAT del Comune,Comune,Regione,Provincia,Cluster_popolazione ,CAPOFILA,TIPOLOGIA ASSOCIAZIONE,PIATTAFORMA FRONT OFFICE,PIATTAFORMA BACK OFFICE,lng,lat
1001,AGLIÈ,Piemonte,TO, <5.000 ab.,Cuorgnè,SUAP Associato,Autonoma,Autonoma,"7,7686","45,36343304"
1002,AIRASCA,Piemonte,TO, <5.000 ab.,Pinerolo,SUAP Associato,Autonoma,Autonoma,"7,48443104","44,91688598"
1003,ALA DI STURA,Piemonte,TO, <5.000 ab.,"Unione Montana Valli di Lanzo, Ceronda e Casternone",SUAP Associato,Autonoma,Autonoma,"7,30434392","45,31511014"
1004,ALBIANO D'IVREA,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,94914491","45,43389336"
1006,ALMESE,Piemonte,TO, <5.000 ab.,Unione Montana Valle Susa,SUAP Associato,Autonoma,Autonoma,"7,39518194","45,11766321"
1007,ALPETTE,Piemonte,TO, <5.000 ab.,Cuorgnè,SUAP Associato,Autonoma,Autonoma,"7,57859732","45,40998223"
1008,ALPIGNANO,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,52426733","45,09446973"
1009,ANDEZENO,Piemonte,TO, <5.000 ab.,Chieri,SUAP Associato,Autonoma,Autonoma,"7,86994864","45,03586095"
1010,ANDRATE,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,87383937","45,52837479"
1011,ANGROGNA,Piemonte,TO, <5.000 ab.,Unione Montana del Pinerolese,SUAP Associato,Autonoma,Autonoma,"7,22429215","44,84344991"
1012,ARIGNANO,Piemonte,TO, <5.000 ab.,Chieri,SUAP Associato,Autonoma,Autonoma,"7,90244635","45,04402899"
1013,AVIGLIANA,Piemonte,TO, <5.000 ab.,Unione Montana Valle Susa,SUAP Associato,Autonoma,Autonoma,"7,39632339","45,07935742"
1014,AZEGLIO,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,9947707","45,4248619"
1015,BAIRO,Piemonte,TO, <5.000 ab.,Cuorgnè,SUAP Associato,Autonoma,Autonoma,"7,75691809","45,38624929"
1016,BALANGERO,Piemonte,TO, <5.000 ab.,"Unione Montana Valli di Lanzo, Ceronda e Casternone",SUAP Associato,Autonoma,Autonoma,"7,51930957","45,27003001"
1017,BALDISSERO CANAVESE,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,74444451","45,40840358"
1018,BALDISSERO TORINESE,Piemonte,TO, <5.000 ab.,Chieri,SUAP Associato,Autonoma,Autonoma,"7,81780767","45,06842334"
1019,BALME,Piemonte,TO, <5.000 ab.,"Unione Montana Valli di Lanzo, Ceronda e Casternone",SUAP Associato,Autonoma,Autonoma,"7,21831414","45,30229406"
1020,BANCHETTE,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,85656384","45,4608501"
1021,BARBANIA,Piemonte,TO, <5.000 ab.,Ciriè,SUAP Associato,Autonoma,Autonoma,"7,63051093","45,2905002"
1022,BARDONECCHIA,Piemonte,TO, <5.000 ab.,Unione Montana Valle Susa,SUAP Associato,Autonoma,Autonoma,"6,70382393","45,07816901"
1023,BARONE CANAVESE,Piemonte,TO, <5.000 ab.,Cuorgnè,SUAP Associato,Autonoma,Autonoma,"7,87055626","45,32772558"
1024,BEINASCO,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,Autonoma,Autonoma,"7,57915804","45,02207899"
1025,BIBIANA,Piemonte,TO, <5.000 ab.,Unione Montana del Pinerolese,SUAP Associato,Autonoma,Autonoma,"7,28978596","44,79758015"
1026,BOBBIO PELLICE,Piemonte,TO, <5.000 ab.,Unione Montana del Pinerolese,SUAP Associato,Autonoma,Autonoma,"7,11790449","44,80770617"
1027,BOLLENGO,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,94534881","45,4733572"
1028,BORGARO TORINESE,Piemonte,TO, <5.000 ab.,SUAP UNIONE DEI COMUNI NORD EST TORINO,SUAP Associato,I1G,I1G,"7,65789441","45,15198241"
1029,BORGIALLO,Piemonte,TO, <5.000 ab.,Cuorgnè,SUAP Associato,Autonoma,Autonoma,"7,66773369","45,4168132"
1030,BORGOFRANCO D'IVREA,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,Autonoma,Autonoma,"7,85852209","45,51300686"
1031,BORGOMASINO,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,98879962","45,36155134"
1032,BORGONE SUSA,Piemonte,TO, <5.000 ab.,Unione Montana Valle Susa,SUAP Associato,Autonoma,Autonoma,"7,24121397","45,12313936"
1033,BOSCONERO,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,76506984","45,26856393"
1034,BRANDIZZO,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,84147562","45,17765247"
1035,BRICHERASIO,Piemonte,TO, <5.000 ab.,Unione Montana del Pinerolese,SUAP Associato,Autonoma,Autonoma,"7,30288754","44,82558164"
1036,BROSSO,Piemonte,TO, <5.000 ab.,Cuorgnè,SUAP Associato,Autonoma,Autonoma,"7,80333443","45,49276005"
1037,BROZOLO,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"8,07127843","45,1174193"
1038,BRUINO,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,46769111","45,0202325"
1039,BRUSASCO,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"8,06009417","45,15595512"
1040,BRUZOLO,Piemonte,TO, <5.000 ab.,Unione Montana Valle Susa,SUAP Associato,Autonoma,Autonoma,"7,19397692","45,14312487"
1041,BURIASCO,Piemonte,TO, <5.000 ab.,Pinerolo,SUAP Associato,Autonoma,Autonoma,"7,41192286","44,87335846"
1042,BUROLO,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,93205672","45,48411969"
1043,BUSANO,Piemonte,TO, <5.000 ab.,Cuorgnè,SUAP Associato,Autonoma,Autonoma,"7,6557437","45,32883648"
1044,BUSSOLENO,Piemonte,TO, <5.000 ab.,Unione Montana Valle Susa,SUAP Associato,Autonoma,Autonoma,"7,14931876","45,13727952"
1045,BUTTIGLIERA ALTA,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,43678073","45,06701514"
1046,CAFASSE,Piemonte,TO, <5.000 ab.,"Unione Montana Valli di Lanzo, Ceronda e Casternone",SUAP Associato,Autonoma,Autonoma,"7,51812356","45,24471151"
1047,CALUSO,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,89150532","45,30786205"
1048,CAMBIANO,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,Autonoma,Autonoma,"7,77932471","44,9734596"
1049,CAMPIGLIONE FENILE,Piemonte,TO, <5.000 ab.,Pinerolo,SUAP Associato,Autonoma,Autonoma,"7,32503803","44,8021244"
1050,CANDIA CANAVESE,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,8866125","45,32816809"
1051,CANDIOLO,Piemonte,TO, <5.000 ab.,Pinerolo,SUAP Associato,Autonoma,Autonoma,"7,60121104","44,96026547"
1052,CANISCHIO,Piemonte,TO, <5.000 ab.,Cuorgnè,SUAP Associato,Autonoma,Autonoma,"7,59521831","45,37434585"
1053,CANTALUPA,Piemonte,TO, <5.000 ab.,Pinerolo,SUAP Associato,Autonoma,Autonoma,"7,33260383","44,94030975"
1054,CANTOIRA,Piemonte,TO, <5.000 ab.,"Unione Montana Valli di Lanzo, Ceronda e Casternone",SUAP Associato,Autonoma,Autonoma,"7,38167977","45,34323553"
1055,CAPRIE,Piemonte,TO, <5.000 ab.,Unione Montana Valle Susa,SUAP Associato,Autonoma,Autonoma,"7,33250655","45,11786515"
1056,CARAVINO,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,9602136","45,39860532"
1057,CAREMA,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,81230448","45,58444747"
1058,CARIGNANO,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,67534298","44,90666664"
1059,CARMAGNOLA,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,Autonoma,Autonoma,"7,71815745","44,84654865"
1060,CASALBORGONE,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,94044052","45,1299627"
1061,CASCINETTE D'IVREA,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,90469845","45,47845422"
1062,CASELETTE,Piemonte,TO, <5.000 ab.,Unione Montana Valle Susa,SUAP Associato,Autonoma,Autonoma,"7,48320717","45,10588105"
1063,CASELLE TORINESE,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,64818634","45,17716554"
1064,CASTAGNETO PO,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,88698844","45,16060833"
1065,CASTAGNOLE PIEMONTE,Piemonte,TO, <5.000 ab.,Pinerolo,SUAP Associato,Autonoma,Autonoma,"7,56655619","44,8986196"
1066,CASTELLAMONTE,Piemonte,TO, <5.000 ab.,Castellamonte,SUAP Associato,Autonoma,Autonoma,"7,70986533","45,3833354"
1067,CASTELNUOVO NIGRA,Piemonte,TO, <5.000 ab.,Cuorgnè,SUAP Associato,Autonoma,Autonoma,"7,69511431","45,43732305"
1068,CASTIGLIONE TORINESE,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,8160937","45,12330917"
1069,CAVAGNOLO,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"8,05131021","45,15207451"
1070,CAVOUR,Piemonte,TO, <5.000 ab.,Pinerolo,SUAP Associato,Autonoma,Autonoma,"7,37523198","44,78403126"
1071,CERCENASCO,Piemonte,TO, <5.000 ab.,Pinerolo,SUAP Associato,Autonoma,Autonoma,"7,50125803","44,86126074"
1072,CERES,Piemonte,TO, <5.000 ab.,Viù,SUAP Associato,Autonoma,Autonoma,"7,38934335","45,31307899"
1073,CERESOLE REALE,Piemonte,TO, <5.000 ab.,Cuorgnè,SUAP Associato,Autonoma,Autonoma,"7,23254114","45,43261794"
1074,CESANA TORINESE,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,Autonoma,Autonoma,"6,79422776","44,95241086"
1075,CHIALAMBERTO,Piemonte,TO, <5.000 ab.,"Unione Montana Valli di Lanzo, Ceronda e Casternone",SUAP Associato,Autonoma,Autonoma,"7,34570078","45,36285948"
1076,CHIANOCCO,Piemonte,TO, <5.000 ab.,Unione Montana Valle Susa,SUAP Associato,Autonoma,Autonoma,"7,16939346","45,1485858"
1077,CHIAVERANO,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,90312753","45,49939701"
1078,CHIERI,Piemonte,TO, <5.000 ab.,Chieri,SUAP Associato,Autonoma,Autonoma,"7,82107157","45,01315317"
1079,CHIESANUOVA,Piemonte,TO, <5.000 ab.,Cuorgnè,SUAP Associato,Autonoma,Autonoma,"7,65605931","45,41780821"
1080,CHIOMONTE,Piemonte,TO, <5.000 ab.,Unione Montana Valle Susa,SUAP Associato,Autonoma,Autonoma,"6,98338614","45,11938583"
1081,CHIUSA DI SAN MICHELE,Piemonte,TO, <5.000 ab.,Unione Montana Valle Susa,SUAP Associato,Autonoma,Autonoma,"7,3264449","45,10154711"
1082,CHIVASSO,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,Autonoma,Autonoma,"7,8871395","45,18855522"
1083,CICONIO,Piemonte,TO, <5.000 ab.,Rivarolo Canavese,SUAP Associato,Autonoma,Autonoma,"7,75987216","45,33032199"
1084,CINTANO,Piemonte,TO, <5.000 ab.,Cuorgnè,SUAP Associato,Autonoma,Autonoma,"7,68662115","45,42805026"
1085,CINZANO,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,92112148","45,09389859"
1086,CIRIÈ,Piemonte,TO, <5.000 ab.,Ciriè,SUAP Associato,Autonoma,Autonoma,"7,60378213","45,23202337"
1087,CLAVIERE,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,Autonoma,Autonoma,"6,7493063","44,93861812"
1088,COASSOLO TORINESE,Piemonte,TO, <5.000 ab.,"Unione Montana Valli di Lanzo, Ceronda e Casternone",SUAP Associato,Autonoma,Autonoma,"7,46132937","45,30071349"
1089,COAZZE,Piemonte,TO, <5.000 ab.,Unione Montana Valle Susa,SUAP Associato,Autonoma,Autonoma,"7,29464354","45,05141806"
1090,COLLEGNO,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,Autonoma,Autonoma,"7,56912947","45,07740152"
1091,COLLERETTO CASTELNUOVO,Piemonte,TO, <5.000 ab.,Cuorgnè,SUAP Associato,Autonoma,Autonoma,"7,67898169","45,42140642"
1092,COLLERETTO GIACOSA,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,79996443","45,43288813"
1093,CONDOVE,Piemonte,TO, <5.000 ab.,Unione Montana Valle Susa,SUAP Associato,Autonoma,Autonoma,"7,31072991","45,11714338"
1094,CORIO,Piemonte,TO, <5.000 ab.,"Unione Montana Valli di Lanzo, Ceronda e Casternone",SUAP Associato,Autonoma,Autonoma,"7,53256155","45,31274311"
1095,COSSANO CANAVESE,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,99337324","45,38833099"
1096,CUCEGLIO,Piemonte,TO, <5.000 ab.,Cuorgnè,SUAP Associato,Autonoma,Autonoma,"7,81484395","45,35892893"
1097,CUMIANA,Piemonte,TO, <5.000 ab.,Pinerolo,SUAP Associato,Autonoma,Autonoma,"7,37437677","44,98279566"
1098,CUORGNÈ,Piemonte,TO, <5.000 ab.,Cuorgnè,SUAP Associato,Autonoma,Autonoma,"7,64891501","45,39122707"
1099,DRUENTO,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,Autonoma,Autonoma,"7,57620424","45,13473277"
1100,EXILLES,Piemonte,TO, <5.000 ab.,Unione Montana Valle Susa,SUAP Associato,Autonoma,Autonoma,"6,9296242","45,09749088"
1101,FAVRIA,Piemonte,TO, <5.000 ab.,Cuorgnè,SUAP Associato,Autonoma,Autonoma,"7,68801437","45,33284709"
1102,FELETTO,Piemonte,TO, <5.000 ab.,Rivarolo Canavese,SUAP Associato,Autonoma,Autonoma,"7,747108","45,30549111"
1103,FENESTRELLE,Piemonte,TO, <5.000 ab.,Unione Montana dei Comuni Valli Chisone e Germanasca,SUAP Associato,I1G,I1G,"7,05188671","45,03429618"
1104,FIANO,Piemonte,TO, <5.000 ab.,"Unione Montana Valli di Lanzo, Ceronda e Casternone",SUAP Associato,Autonoma,Autonoma,"7,51978357","45,21812133"
1105,FIORANO CANAVESE,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,82897738","45,46756986"
1106,FOGLIZZO,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,82317874","45,27201738"
1107,FORNO CANAVESE,Piemonte,TO, <5.000 ab.,Forno Canavese,SUAP Associato,Autonoma,Autonoma,"7,58678049","45,34683712"
1108,FRASSINETTO,Piemonte,TO, <5.000 ab.,Cuorgnè,SUAP Associato,Autonoma,Autonoma,"7,60567906","45,43603247"
1109,FRONT,Piemonte,TO, <5.000 ab.,Ciriè,SUAP Associato,Autonoma,Autonoma,"7,66559657","45,2795507"
1110,FROSSASCO,Piemonte,TO, <5.000 ab.,Pinerolo,SUAP Associato,Autonoma,Autonoma,"7,35077043","44,93362239"
1111,GARZIGLIANA,Piemonte,TO, <5.000 ab.,Pinerolo,SUAP Associato,Autonoma,Autonoma,"7,37473116","44,83677569"
1112,GASSINO TORINESE,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,8248966","45,1274528"
1113,GERMAGNANO,Piemonte,TO, <5.000 ab.,"Unione Montana Valli di Lanzo, Ceronda e Casternone",SUAP Associato,Autonoma,Autonoma,"7,46686447","45,26218096"
1114,GIAGLIONE,Piemonte,TO, <5.000 ab.,Unione Montana Valle Susa,SUAP Associato,Autonoma,Autonoma,"7,01413849","45,13968801"
1115,GIAVENO,Piemonte,TO, <5.000 ab.,Unione Montana Valle Susa,SUAP Associato,Autonoma,Autonoma,"7,35308652","45,04475307"
1116,GIVOLETTO,Piemonte,TO, <5.000 ab.,"Unione Montana Valli di Lanzo, Ceronda e Casternone",SUAP Associato,Autonoma,Autonoma,"7,49677295","45,15877935"
1117,GRAVERE,Piemonte,TO, <5.000 ab.,Unione Montana Valle Susa,SUAP Associato,Autonoma,Autonoma,"7,02107286","45,1239184"
1118,GROSCAVALLO,Piemonte,TO, <5.000 ab.,Viù,SUAP Associato,Autonoma,Autonoma,"7,28229522","45,36895345"
1119,GROSSO,Piemonte,TO, <5.000 ab.,Ciriè,SUAP Associato,Autonoma,Autonoma,"7,55663354","45,25636722"
1120,GRUGLIASCO,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,Autonoma,Autonoma,"7,57780057","45,06211095"
1121,INGRIA,Piemonte,TO, <5.000 ab.,Cuorgnè,SUAP Associato,Autonoma,Autonoma,"7,57086278","45,46629106"
1122,INVERSO PINASCA,Piemonte,TO, <5.000 ab.,SUAP Unione Montana dei Comuni Valli Chisone e Germanasca,SUAP Associato,I1G,I1G,"7,21596397","44,94722972"
1123,ISOLABELLA,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,90926775","44,90664468"
1124,ISSIGLIO,Piemonte,TO, <5.000 ab.,Cuorgnè,SUAP Associato,Autonoma,Autonoma,"7,75416284","45,44680942"
1125,IVREA,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,87596694","45,46618879"
1126,LA CASSA,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,Autonoma,Autonoma,"7,51913001","45,18182357"
1127,LA LOGGIA,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,Autonoma,Autonoma,"7,66770716","44,9566781"
1128,LANZO TORINESE,Piemonte,TO, <5.000 ab.,"Unione Montana Valli di Lanzo, Ceronda e Casternone",SUAP Associato,Autonoma,Autonoma,"7,4766156","45,27231992"
1129,LAURIANO,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,99166951","45,15845502"
1130,LEINI',Piemonte,TO, <5.000 ab.,Comune di CIRIE',SUAP Associato,I1G,I1G,"7,71510758","45,18393696"
1131,LEMIE,Piemonte,TO, <5.000 ab.,Viù,SUAP Associato,Autonoma,Autonoma,"7,29288179","45,2285566"
1132,LESSOLO,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,81421978","45,47615621"
1133,LEVONE,Piemonte,TO, <5.000 ab.,Forno Canavese,SUAP Associato,Autonoma,Autonoma,"7,60590068","45,31810409"
1134,LOCANA,Piemonte,TO, <5.000 ab.,Cuorgnè,SUAP Associato,Autonoma,Autonoma,"7,46126241","45,41699254"
1135,LOMBARDORE,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,Autonoma,Autonoma,"7,73626699","45,23570752"
1136,LOMBRIASCO,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,Autonoma,Autonoma,"7,6357787","44,84160233"
1137,LORANZE',Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,8108711","45,44223125"
1139,LUSERNA SAN GIOVANNI,Piemonte,TO, <5.000 ab.,Unione Montana del Pinerolese,SUAP Associato,Autonoma,Autonoma,"7,24579065","44,81432177"
1140,LUSERNETTA,Piemonte,TO, <5.000 ab.,Unione Montana del Pinerolese,SUAP Associato,Autonoma,Autonoma,"7,25023582","44,8023662"
1141,LUSIGLIÈ,Piemonte,TO, <5.000 ab.,Rivarolo Canavese,SUAP Associato,Autonoma,Autonoma,"7,76646663","45,31856534"
1142,MACELLO,Piemonte,TO, <5.000 ab.,Pinerolo,SUAP Associato,Autonoma,Autonoma,"7,40079259","44,85117887"
1143,MAGLIONE,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"8,01174454","45,34770337"
1144,MARENTINO,Piemonte,TO, <5.000 ab.,Chieri,SUAP Associato,Autonoma,Autonoma,"7,87332971","45,05800482"
1145,MASSELLO,Piemonte,TO, <5.000 ab.,Unione Montana dei Comuni Valli Chisone e Germanasca,SUAP Associato,I1G,I1G,"7,05631276","44,95856162"
1146,MATHI,Piemonte,TO, <5.000 ab.,Ciriè,SUAP Associato,Autonoma,Autonoma,"7,54132093","45,25664137"
1147,MATTIE,Piemonte,TO, <5.000 ab.,Unione Montana Valle Susa,SUAP Associato,Autonoma,Autonoma,"7,11215191","45,1187052"
1148,MAZZE',Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,93700162","45,29853622"
1149,MEANA DI SUSA,Piemonte,TO, <5.000 ab.,Unione Montana Valle Susa,SUAP Associato,Autonoma,Autonoma,"7,06814068","45,12073332"
1150,MERCENASCO,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,88256683","45,35697859"
1152,MEZZENILE,Piemonte,TO, <5.000 ab.,Viù,SUAP Associato,Autonoma,Autonoma,"7,39502001","45,29240402"
1153,MOMBELLO DI TORINO,Piemonte,TO, <5.000 ab.,Chieri,SUAP Associato,Autonoma,Autonoma,"7,9195483","45,0464001"
1154,MOMPANTERO,Piemonte,TO, <5.000 ab.,Unione Montana Valle Susa,SUAP Associato,Autonoma,Autonoma,"7,0579733","45,13990657"
1155,MONASTERO DI LANZO,Piemonte,TO, <5.000 ab.,"Unione Montana Valli di Lanzo, Ceronda e Casternone",SUAP Associato,Autonoma,Autonoma,"7,43913232","45,30142445"
1156,MONCALIERI,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,Autonoma,Autonoma,"7,68524785","45,00092557"
1157,MONCENISIO,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"6,98356095","45,20528865"
1158,MONTALDO TORINESE,Piemonte,TO, <5.000 ab.,Chieri,SUAP Associato,Autonoma,Autonoma,"7,85089356","45,06636449"
1159,MONTALENGHE,Piemonte,TO, <5.000 ab.,Cuorgnè,SUAP Associato,Autonoma,Autonoma,"7,83985641","45,33772294"
1160,MONTALTO DORA,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,86379472","45,49362402"
1161,MONTANARO,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,85282569","45,23289425"
1162,MONTEU DA PO,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"8,01478453","45,15054215"
1163,MORIONDO TORINESE,Piemonte,TO, <5.000 ab.,Chieri,SUAP Associato,Autonoma,Autonoma,"7,94405562","45,03906243"
1164,NICHELINO,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,64737268","44,99519052"
1165,NOASCA,Piemonte,TO, <5.000 ab.,Cuorgnè,SUAP Associato,Autonoma,Autonoma,"7,31354369","45,45305086"
1166,NOLE,Piemonte,TO, <5.000 ab.,Ciriè,SUAP Associato,Autonoma,Autonoma,"7,57012122","45,24523673"
1167,NOMAGLIO,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,85971537","45,53518242"
1168,NONE,Piemonte,TO, <5.000 ab.,Pinerolo,SUAP Associato,Autonoma,Autonoma,"7,54123958","44,93231301"
1169,NOVALESA,Piemonte,TO, <5.000 ab.,Unione Montana Valle Susa,SUAP Associato,Autonoma,Autonoma,"7,01466579","45,18763602"
1170,OGLIANICO,Piemonte,TO, <5.000 ab.,Rivarolo Canavese,SUAP Associato,Autonoma,Autonoma,"7,69274392","45,34256696"
1171,ORBASSANO,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,53695676","45,00703303"
1172,ORIO CANAVESE,Piemonte,TO, <5.000 ab.,Cuorgnè,SUAP Associato,Autonoma,Autonoma,"7,86029968","45,32848958"
1173,OSASCO,Piemonte,TO, <5.000 ab.,Pinerolo,SUAP Associato,Autonoma,Autonoma,"7,34316619","44,84947467"
1174,OSASIO,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,Autonoma,Autonoma,"7,60752807","44,86946279"
1175,OULX,Piemonte,TO, <5.000 ab.,Unione Montana Valle Susa,SUAP Associato,Autonoma,Autonoma,"6,83221872","45,03127204"
1176,OZEGNA,Piemonte,TO, <5.000 ab.,Castellamonte,SUAP Associato,Autonoma,Autonoma,"7,74313424","45,34901489"
1177,PALAZZO CANAVESE,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,9780495","45,45747804"
1178,PANCALIERI,Piemonte,TO, <5.000 ab.,Pinerolo,SUAP Associato,Autonoma,Autonoma,"7,58816166","44,83047398"
1179,PARELLA,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,7910275","45,42998528"
1180,PAVAROLO,Piemonte,TO, <5.000 ab.,Chieri,SUAP Associato,Autonoma,Autonoma,"7,83475798","45,06892615"
1181,PAVONE CANAVESE,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,85397607","45,4352612"
1183,PECETTO TORINESE,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,Autonoma,Autonoma,"7,74869987","45,01955866"
1184,PEROSA ARGENTINA,Piemonte,TO, <5.000 ab.,SUAP Unione Montana dei Comuni Valli Chisone e Germanasca,SUAP Associato,I1G,I1G,"7,19237022","44,95809915"
1185,PEROSA CANAVESE,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,82925599","45,39715691"
1186,PERRERO,Piemonte,TO, <5.000 ab.,Unione Montana dei Comuni Valli Chisone e Germanasca,SUAP Associato,I1G,I1G,"7,11526705","44,93745704"
1187,PERTUSIO,Piemonte,TO, <5.000 ab.,Cuorgnè,SUAP Associato,Autonoma,Autonoma,"7,63872415","45,35339905"
1188,PESSINETTO,Piemonte,TO, <5.000 ab.,"Unione Montana Valli di Lanzo, Ceronda e Casternone",SUAP Associato,Autonoma,Autonoma,"7,40284722","45,29054324"
1189,PIANEZZA,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,Autonoma,Autonoma,"7,54635756","45,10062332"
1190,PINASCA,Piemonte,TO, <5.000 ab.,Unione Montana dei Comuni Valli Chisone e Germanasca,SUAP Associato,I1G,I1G,"7,22767284","44,94266195"
1191,PINEROLO,Piemonte,TO, <5.000 ab.,Pinerolo,SUAP Associato,Autonoma,Autonoma,"7,33200099","44,88733486"
1192,PINO TORINESE,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,77216514","45,0435201"
1193,PIOBESI TORINESE,Piemonte,TO, <5.000 ab.,Pinerolo,SUAP Associato,Autonoma,Autonoma,"7,61193106","44,93305708"
1194,PIOSSASCO,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,46275512","44,99070006"
1195,PISCINA,Piemonte,TO, <5.000 ab.,Pinerolo,SUAP Associato,Autonoma,Autonoma,"7,42589738","44,9194642"
1196,PIVERONE,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"8,00710274","45,44754377"
1197,POIRINO,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,84361932","44,92119885"
1198,POMARETTO,Piemonte,TO, <5.000 ab.,SUAP Unione Montana dei Comuni Valli Chisone e Germanasca,SUAP Associato,I1G,I1G,"7,18220303","44,95506624"
1199,PONT CANAVESE,Piemonte,TO, <5.000 ab.,_,SUAP Singolo,I1G,I1G,"7,59357096","45,42072843"
